wk,date,home,away
34,2025-05-01,Nott'ham Forest,Brentford
35,2025-05-02,Manchester City,Wolves
35,2025-05-03,Aston Villa,Fulham
35,2025-05-03,Leicester City,Southampton
35,2025-05-03,Everton,Ipswich Town
35,2025-05-03,Arsenal,Bournemouth
35,2025-05-04,Brighton,Newcastle Utd
35,2025-05-04,West Ham,Tottenham
35,2025-05-04,Brentford,Manchester Utd
35,2025-05-04,Chelsea,Liverpool
35,2025-05-05,Crystal Palace,Nott'ham Forest
36,2025-05-10,Ipswich Town,Brentford
36,2025-05-10,Fulham,Everton
36,2025-05-10,Wolves,Brighton
36,2025-05-10,Southampton,Manchester City
36,2025-05-10,Bournemouth,Aston Villa
36,2025-05-11,Newcastle Utd,Chelsea
36,2025-05-11,Nott'ham Forest,Leicester City
36,2025-05-11,Tottenham,Crystal Palace
36,2025-05-11,Manchester Utd,West Ham
36,2025-05-11,Liverpool,Arsenal
37,2025-05-16,Chelsea,Manchester Utd
37,2025-05-18,Everton,Southampton
37,2025-05-18,Aston Villa,Tottenham
37,2025-05-18,West Ham,Nott'ham Forest
37,2025-05-18,Brentford,Fulham
37,2025-05-18,Crystal Palace,Wolves
37,2025-05-18,Leicester City,Ipswich Town
37,2025-05-18,Arsenal,Newcastle Utd
37,2025-05-18,Manchester City,Bournemouth
37,2025-05-19,Brighton,Liverpool
38,2025-05-25,Manchester Utd,Aston Villa
38,2025-05-25,Ipswich Town,West Ham
38,2025-05-25,Wolves,Brentford
38,2025-05-25,Southampton,Arsenal
38,2025-05-25,Liverpool,Crystal Palace
38,2025-05-25,Nott'ham Forest,Chelsea
38,2025-05-25,Fulham,Manchester City
38,2025-05-25,Newcastle Utd,Everton
38,2025-05-25,Bournemouth,Leicester City
38,2025-05-25,Tottenham,Brighton
