X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28
1,Liverpool,15,12,2,1,32,11,21,38,2.53,31.9,12.2,19.7,1.32,16,10,5,1,40,19,21,35,2.19,36,14.6,21.4,1.34
2,Arsenal,16,10,5,1,31,13,18,35,2.19,26.6,10,16.6,1.03,16,7,7,2,26,14,12,28,1.75,22.8,17,5.8,0.36
3,Nott'ham Forest,16,9,4,3,24,11,13,31,1.94,19.5,16.4,3.1,0.19,16,8,2,6,27,27,0,26,1.63,19.5,23.5,-4,-0.25
4,Manchester City,16,10,3,3,37,21,16,33,2.06,33.9,19.3,14.6,0.91,16,6,4,6,25,21,4,22,1.38,23.9,22.9,1,0.06
5,Aston Villa,16,8,7,1,27,19,8,31,1.94,29,16.1,12.8,0.8,16,7,2,7,22,27,-5,23,1.44,19.4,26.6,-7.1,-0.45
6,Chelsea,15,9,4,2,28,15,13,31,2.07,30.2,16.1,14,0.94,16,6,4,6,26,22,4,22,1.38,28,25.3,2.6,0.16
7,Newcastle Utd,14,8,2,4,26,18,8,26,1.86,24.1,17.9,6.3,0.45,16,8,3,5,26,21,5,27,1.69,26.6,19.5,7.1,0.44
8,Fulham,16,7,5,4,25,23,2,26,1.63,19.8,17.9,1.9,0.12,15,6,4,5,22,19,3,22,1.47,21.8,18.8,3,0.2
9,Brighton,16,6,7,3,23,21,2,25,1.56,26.3,19.5,6.8,0.42,16,6,5,5,28,28,0,23,1.44,23,24.8,-1.8,-0.11
10,Bournemouth,15,6,3,6,19,14,5,21,1.4,27,17.7,9.3,0.62,16,6,6,4,32,26,6,24,1.5,29.9,22.9,7,0.43
11,Brentford,16,7,4,5,30,27,3,25,1.56,27.7,24.2,3.5,0.22,16,5,3,8,22,21,1,18,1.13,19.9,24.4,-4.6,-0.29
12,Crystal Palace,16,5,5,6,19,23,-4,20,1.25,26.2,19.2,7,0.44,15,6,5,4,22,17,5,23,1.53,21.1,21.6,-0.5,-0.03
13,Manchester Utd,16,6,3,7,21,25,-4,21,1.31,23.6,23.6,0,0,15,4,5,6,16,16,0,17,1.13,17.8,21.6,-3.8,-0.26
14,Everton,16,4,8,4,22,19,3,20,1.25,18.8,18.8,0,0,16,4,6,6,12,19,-7,18,1.13,16.2,20.6,-4.4,-0.28
15,Tottenham,16,6,3,7,33,27,6,21,1.31,28.6,28,0.5,0.03,15,5,1,9,25,18,7,16,1.07,21.7,22.4,-0.7,-0.05
16,West Ham,16,5,3,8,20,30,-10,18,1.13,19.9,28.8,-8.9,-0.56,15,4,5,6,15,22,-7,17,1.13,18.7,21.6,-2.9,-0.19
17,Wolves,15,4,2,9,19,27,-8,14,0.93,17,23,-5.9,-0.4,16,5,3,8,24,32,-8,18,1.13,18.3,25.4,-7,-0.44
18,Ipswich Town,16,1,4,11,13,36,-23,7,0.44,15,28.2,-13.2,-0.82,15,3,4,8,18,29,-11,13,0.87,14.1,33.7,-19.6,-1.3
19,Leicester City,16,2,3,11,11,33,-22,9,0.56,14.4,28,-13.6,-0.85,16,2,3,11,16,39,-23,9,0.56,13.3,34.7,-21.4,-1.34
20,Southampton,16,1,2,13,11,43,-32,5,0.31,15.9,40,-24,-1.5,16,1,2,13,12,34,-22,5,0.31,13,33.5,-20.4,-1.28
